,name,votes,types,generation,family,sprite_source,generation_color,ranking_overall,ranking_generation
546,Cottonee,2.0,Grass Fairy,5,Cottonee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/546.png,#9FCADF,786,146.0
616,Shelmet,2.0,Bug,5,Shelmet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/616.png,#9FCADF,785,147.0
118,Goldeen,2.0,Water,1,Goldeen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,#ACD36C,784,149.0
578,Duosion,2.0,Psychic,5,Solosis,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/578.png,#9FCADF,783,148.0
592,Frillish,2.0,Water Ghost Water Ghost,5,Frillish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/592.png,#9FCADF,782,149.0
515,Panpour,2.0,Water,5,Panpour,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/515.png,#9FCADF,781,150.0
740,Crabominable,2.0,Fighting Ice,7,Crabrawler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/740.png,#E89483,780,84.0
692,Clauncher,2.0,Water,6,Clauncher,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/692.png,#DD608C,779,72.0
588,Karrablast,2.0,Bug,5,Karrablast,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/588.png,#9FCADF,778,151.0
21,Spearow,2.0,Normal Flying,1,Spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,#ACD36C,777,150.0
367,Huntail,2.0,Water,3,Clamperl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,#9CD7C8,776,129.0
268,Cascoon,2.0,Bug,3,Wurmple,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,#9CD7C8,775,130.0
267,Beautifly,2.0,Bug Flying,3,Wurmple,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,#9CD7C8,774,131.0
307,Meditite,2.0,Fighting Psychic,3,Meditite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,#9CD7C8,773,132.0
247,Pupitar,2.0,Rock Ground,2,Larvitar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,#DCD677,772,100.0
339,Barboach,2.0,Water Ground,3,Barboach,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,#9CD7C8,771,133.0
751,Dewpider,2.0,Water Bug,7,Dewpider,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/751.png,#E89483,770,85.0
682,Spritzee,3.0,Fairy,6,Spritzee,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/682.png,#DD608C,769,66.0
782,Jangmo-O,3.0,Dragon,7,Jangmo-o,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/782.png,#E89483,768,74.0
761,Bounsweet,3.0,Grass,7,Bounsweet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/761.png,#E89483,767,75.0
762,Steenee,3.0,Grass,7,Bounsweet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/762.png,#E89483,766,76.0
597,Ferroseed,3.0,Grass Steel,5,Ferroseed,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/597.png,#9FCADF,765,135.0
657,Frogadier,3.0,Water,6,Froakie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/657.png,#DD608C,764,67.0
651,Quilladin,3.0,Grass,6,Chespin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/651.png,#DD608C,763,68.0
639,Terrakion,3.0,Rock Fighting,5,Terrakion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/639.png,#9FCADF,762,136.0
533,Gurdurr,3.0,Fighting,5,Timburr,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/533.png,#9FCADF,761,137.0
509,Purrloin,3.0,Dark,5,Purrloin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/509.png,#9FCADF,760,138.0
629,Vullaby,3.0,Dark Flying,5,Vullaby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/629.png,#9FCADF,759,139.0
290,Nincada,3.0,Bug Ground,3,Nincada,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,#9CD7C8,758,126.0
619,Mienfoo,3.0,Fighting,5,Mienfoo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/619.png,#9FCADF,757,140.0
532,Timburr,3.0,Fighting,5,Timburr,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/532.png,#9FCADF,756,141.0
767,Wimpod,3.0,Bug Water,7,Wimpod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/767.png,#E89483,755,77.0
364,Sealeo,3.0,Ice Water,3,Spheal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,#9CD7C8,754,127.0
431,Glameow,3.0,Normal,4,Glameow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/431.png,#B7A3C3,753,104.0
480,Uxie,3.0,Psychic,4,Uxie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/480.png,#B7A3C3,752,105.0
223,Remoraid,3.0,Water,2,Remoraid,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png,#DCD677,751,98.0
188,Skiploom,3.0,Grass Flying,2,Hoppip,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,#DCD677,750,99.0
318,Carvanha,3.0,Water Dark,3,Carvanha,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,#9CD7C8,749,128.0
753,Fomantis,3.0,Grass,7,Fomantis,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/753.png,#E89483,748,78.0
808,Meltan,3.0,Steel,7,Meltan,../images/pokeball.png,#E89483,747,79.0
731,Pikipek,3.0,Normal Flying,7,Pikipek,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/731.png,#E89483,746,80.0
600,Klang,4.0,Steel,5,Klink,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/600.png,#9FCADF,745,120.0
564,Tirtouga,4.0,Water Rock,5,Tirtouga,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/564.png,#9FCADF,744,121.0
345,Lileep,4.0,Rock Grass,3,Lileep,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,#9CD7C8,743,124.0
562,Yamask,4.0,Ghost,5,Yamask,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/562.png,#9FCADF,742,122.0
413,Wormadam,4.0,Bug Grass Bug Steel,4,Burmy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/413.png,#B7A3C3,741,103.0
783,Hakamo-O,4.0,Dragon Fighting,7,Jangmo-o,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/783.png,#E89483,740,71.0
786,Tapu-Lele,4.0,Psychic Fairy,7,Tapu-Lele,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/786.png,#E89483,739,72.0
536,Palpitoad,4.0,Water Ground,5,Tympole,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/536.png,#9FCADF,738,123.0
634,Zweilous,4.0,Dark Dragon,5,Deino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/634.png,#9FCADF,737,124.0
591,Amoonguss,4.0,Grass Poison,5,Foongus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/591.png,#9FCADF,736,125.0
506,Lillipup,4.0,Normal,5,Lillipup,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/506.png,#9FCADF,735,126.0
735,Gumshoos,4.0,Normal,7,Yungoos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/735.png,#E89483,734,73.0
640,Virizion,4.0,Grass Fighting,5,Virizion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/640.png,#9FCADF,733,127.0
522,Blitzle,4.0,Electric,5,Blitzle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/522.png,#9FCADF,732,128.0
520,Tranquill,4.0,Normal Flying,5,Pidove,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/520.png,#9FCADF,731,129.0
296,Makuhita,4.0,Fighting,3,Makuhita,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,#9CD7C8,730,125.0
505,Watchog,4.0,Normal,5,Patrat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/505.png,#9FCADF,729,130.0
660,Diggersby,4.0,Normal Ground,6,Bunnelby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/660.png,#DD608C,728,63.0
524,Roggenrola,4.0,Rock,5,Roggenrola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/524.png,#9FCADF,727,131.0
516,Simipour,4.0,Water,5,Panpour,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/516.png,#9FCADF,726,132.0
517,Munna,4.0,Psychic,5,Munna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/517.png,#9FCADF,725,133.0
669,Flabebe,4.0,Fairy,6,Flabebe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/669.png,#DD608C,724,64.0
667,Litleo,4.0,Fire Normal,6,Litleo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/667.png,#DD608C,723,65.0
642,Thundurus,4.0,Electric Flying,5,Thundurus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/642.png,#9FCADF,722,134.0
512,Simisage,5.0,Grass,5,Pansage,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/512.png,#9FCADF,721,108.0
372,Shelgon,5.0,Dragon,3,Bagon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,#9CD7C8,720,119.0
165,Ledyba,5.0,Bug Flying,2,Ledyba,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,#DCD677,719,93.0
581,Swanna,5.0,Water Flying,5,Ducklett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/581.png,#9FCADF,718,109.0
575,Gothorita,5.0,Psychic,5,Gothita,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/575.png,#9FCADF,717,110.0
236,Tyrogue,5.0,Fighting,2,Tyrogue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,#DCD677,716,94.0
240,Magby,5.0,Fire,2,Magby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,#DCD677,715,95.0
521,Unfezant,5.0,Normal Flying Normal Flying,5,Pidove,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/521.png,#9FCADF,714,111.0
314,Illumise,5.0,Bug,3,Illumise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,#9CD7C8,713,120.0
238,Smoochum,5.0,Ice Psychic,2,Smoochum,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,#DCD677,712,96.0
544,Whirlipede,5.0,Bug Poison,5,Venipede,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/544.png,#9FCADF,711,112.0
481,Mesprit,5.0,Psychic,4,Mesprit,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/481.png,#B7A3C3,710,101.0
529,Drilbur,5.0,Ground,5,Drilbur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/529.png,#9FCADF,709,113.0
294,Loudred,5.0,Normal,3,Whismur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,#9CD7C8,708,121.0
174,Igglybuff,5.0,Normal Fairy,2,Igglybuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,#DCD677,707,97.0
440,Happiny,5.0,Normal,4,Happiny,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/440.png,#B7A3C3,706,102.0
293,Whismur,5.0,Normal,3,Whismur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,#9CD7C8,705,122.0
269,Dustox,5.0,Bug Poison,3,Wurmple,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,#9CD7C8,704,123.0
585,Deerling,5.0,Normal Grass,5,Deerling,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/585.png,#9FCADF,703,114.0
550,Basculin,5.0,Water Water,5,Basculin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/550.png,#9FCADF,702,115.0
736,Grubbin,5.0,Bug,7,Grubbin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/736.png,#E89483,701,64.0
626,Bouffalant,5.0,Normal,5,Bouffalant,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/626.png,#9FCADF,700,116.0
670,Floette,5.0,Fairy,6,Flabebe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/670.png,#DD608C,699,59.0
739,Crabrawler,5.0,Fighting,7,Crabrawler,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/739.png,#E89483,698,65.0
590,Foongus,5.0,Grass Poison,5,Foongus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/590.png,#9FCADF,697,117.0
746,Wishiwashi,5.0,Water,7,Wishiwashi,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/746.png,#E89483,696,66.0
627,Rufflet,5.0,Normal Flying,5,Rufflet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/627.png,#9FCADF,695,118.0
755,Morelull,5.0,Grass Fairy,7,Morelull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/755.png,#E89483,694,67.0
749,Mudbray,5.0,Ground,7,Mudbray,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/749.png,#E89483,693,68.0
769,Sandygast,5.0,Ghost Ground,7,Sandygast,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/769.png,#E89483,692,69.0
690,Skrelp,5.0,Poison Water,6,Skrelp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/690.png,#DD608C,691,60.0
671,Florges,5.0,Fairy,6,Flabebe,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/671.png,#DD608C,690,61.0
599,Klink,5.0,Steel,5,Klink,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/599.png,#9FCADF,689,119.0
764,Comfey,5.0,Fairy,7,Comfey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/764.png,#E89483,688,70.0
721,Volcanion,5.0,Fire Water,6,Volcanion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/721.png,#DD608C,687,62.0
173,Cleffa,6.0,Fairy,2,Cleffa,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,#DCD677,686,92.0
496,Servine,6.0,Grass,5,Snivy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/496.png,#9FCADF,685,99.0
449,Hippopotas,6.0,Ground,4,Hippopotas,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/449.png,#B7A3C3,684,96.0
511,Pansage,6.0,Grass,5,Pansage,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/511.png,#9FCADF,683,100.0
436,Bronzor,6.0,Steel Psychic,4,Bronzor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/436.png,#B7A3C3,682,97.0
434,Stunky,6.0,Poison Dark,4,Stunky,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/434.png,#B7A3C3,681,98.0
433,Chingling,6.0,Psychic,4,Chingling,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/433.png,#B7A3C3,680,99.0
583,Vanillish,6.0,Ice,5,Vanillite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/583.png,#9FCADF,679,101.0
410,Shieldon,6.0,Rock Steel,4,Shieldon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/410.png,#B7A3C3,678,100.0
377,Regirock,6.0,Rock,3,Regirock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png,#9CD7C8,677,113.0
30,Nidorina,6.0,Poison,1,Nidoran-F,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,#ACD36C,676,148.0
349,Feebas,6.0,Water,3,Feebas,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,#9CD7C8,675,114.0
338,Solrock,6.0,Rock Psychic,3,Solrock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,#9CD7C8,674,115.0
765,Oranguru,6.0,Normal Psychic,7,Oranguru,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/765.png,#E89483,673,61.0
274,Nuzleaf,6.0,Grass Dark,3,Seedot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,#9CD7C8,672,116.0
271,Lombre,6.0,Water Grass,3,Lotad,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,#9CD7C8,671,117.0
776,Turtonator,6.0,Fire Dragon,7,Turtonator,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/776.png,#E89483,670,62.0
729,Brionne,6.0,Water,7,Popplio,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/729.png,#E89483,669,63.0
665,Spewpa,6.0,Bug,6,Scatterbug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/665.png,#DD608C,668,57.0
256,Combusken,6.0,Fire Fighting,3,Torchic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,#9CD7C8,667,118.0
535,Tympole,6.0,Water,5,Tympole,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/535.png,#9FCADF,666,102.0
661,Fletchling,6.0,Normal Flying,6,Fletchling,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/661.png,#DD608C,665,58.0
525,Boldore,6.0,Rock,5,Roggenrola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/525.png,#9FCADF,664,103.0
602,Tynamo,6.0,Electric,5,Tynamo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/602.png,#9FCADF,663,104.0
631,Heatmor,6.0,Fire,5,Heatmor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/631.png,#9FCADF,662,105.0
624,Pawniard,6.0,Dark Steel,5,Pawniard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/624.png,#9FCADF,661,106.0
611,Fraxure,6.0,Dragon,5,Axew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/611.png,#9FCADF,660,107.0
712,Bergmite,7.0,Ice,6,Bergmite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/712.png,#DD608C,659,55.0
84,Doduo,7.0,Normal Flying,1,Doduo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,#ACD36C,658,146.0
29,Nidoran-F,7.0,Poison,1,Nidoran-F,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,#ACD36C,657,147.0
438,Bonsly,7.0,Rock,4,Bonsly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/438.png,#B7A3C3,656,90.0
539,Sawk,7.0,Fighting,5,Sawk,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/539.png,#9FCADF,655,91.0
360,Wynaut,7.0,Psychic,3,Wynaut,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,#9CD7C8,654,111.0
414,Mothim,7.0,Bug Flying,4,Burmy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/414.png,#B7A3C3,653,91.0
705,Sliggoo,7.0,Dragon,6,Goomy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/705.png,#DD608C,652,56.0
412,Burmy,7.0,Bug Bug,4,Burmy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png,#B7A3C3,651,92.0
548,Petilil,7.0,Grass,5,Petilil,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/548.png,#9FCADF,650,92.0
406,Budew,7.0,Grass Poison,4,Budew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png,#B7A3C3,649,93.0
368,Gorebyss,7.0,Water,3,Clamperl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,#9CD7C8,648,112.0
801,Magearna,7.0,Steel Fairy,7,Magearna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/801.png,#E89483,647,59.0
397,Staravia,7.0,Normal Flying,4,Starly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/397.png,#B7A3C3,646,94.0
557,Dwebble,7.0,Bug Rock,5,Dwebble,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/557.png,#9FCADF,645,93.0
485,Heatran,7.0,Fire Steel,4,Heatran,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/485.png,#B7A3C3,644,95.0
204,Pineco,7.0,Bug,2,Pineco,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,#DCD677,643,91.0
766,Passimian,7.0,Fighting,7,Passimian,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/766.png,#E89483,642,60.0
638,Cobalion,7.0,Steel Fighting,5,Cobalion,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/638.png,#9FCADF,641,94.0
519,Pidove,7.0,Normal Flying,5,Pidove,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/519.png,#9FCADF,640,95.0
518,Musharna,7.0,Psychic,5,Munna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/518.png,#9FCADF,639,96.0
507,Herdier,7.0,Normal,5,Lillipup,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/507.png,#9FCADF,638,97.0
499,Pignite,7.0,Fire Fighting,5,Tepig,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/499.png,#9FCADF,637,98.0
806,Blacephalon,8.0,Fire Ghost,7,Blacephalon,../images/pokeball.png,#E89483,636,56.0
400,Bibarel,8.0,Normal Water,4,Bidoof,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png,#B7A3C3,635,87.0
210,Granbull,8.0,Fairy,2,Snubbull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,#DCD677,634,89.0
366,Clamperl,8.0,Water,3,Clamperl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,#9CD7C8,633,105.0
514,Simisear,8.0,Fire,5,Pansear,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/514.png,#9FCADF,632,86.0
577,Solosis,8.0,Psychic,5,Solosis,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/577.png,#9FCADF,631,87.0
